Team,Stickiness_C0_Slot,Stickiness_C3_Possess,Pathway_C2_to_C0 (Off-Ball IQ),Pathway_C0_to_C3 (Slot Targeting),Pathway_C1_to_C3 (Puck Recovery)
Team L,68.46,52.34,3.51,3.83,3.64
Team J,71.93,55.85,4.34,3.16,3.81
Team E,70.85,56.43,3.56,3.14,4.53
Team C,72.02,54.85,3.81,2.92,3.68
Team G,73.34,48.84,3.99,2.87,3.7
Team D,71.57,54.67,3.76,2.7,4.05
Team K,72.06,53.38,4.07,2.58,4.37
Team F,72.23,47.52,3.16,2.54,2.5
Team I,71.9,54.43,4.23,2.5,3.87
Team H,73.19,55.08,4.24,2.38,4.32
Team A,74.6,54.65,3.93,2.21,4.2
Team B,74.45,52.33,4.05,2.06,5.8
